,Producto,Comentarios,Precio,Tipo de envio,Descuento,Precio anterior
0,Ps4 Fifa Soccer 23,(13),$649 MXN ,Express,,
1,Estuche NSW Zelda Café RDS,(1),$599 MXN -25%,Express,-25%,$799
2,Ps4 Control Dualshock4 Green Camouflage,(51),"$1,599 MXN ",Express,,
3,Kit Consola Ps5,(2),"$10,499 MXN -19%",Express,-19%,"$12,999"
4,Consola Nintendo Switch Modelo Oled Blanco,(55),"$6,999 MXN -25%",Express,-25%,"$9,399"
5,"Control Inalámbrico de Xbox Pulse Red Compatible Xbox Series X , S, Xbox One Y Dispositivos Windows",(35),"$1,599 MXN ",Express,,
6,Nintendo Switch Mario Kart 8 Deluxe,(28),"$1,099 MXN -23%",Express,-23%,"$1,439"
7,Spiderman Para Ps4 Play Station 4 - Game Center,(1),$899 MXN -10%,Normal,-10%,$999
8,Control PDP para Xbox rematch glitch verde,(1),$616 MXN -35%,Express,-35%,$949
9,Control XBSX Inalámbrico Eelectric Volt Verde,(32),"$1,439 MXN -10%",Express,-10%,"$1,599"
10,Ps4 Gran Turismo 7,(4),"$1,169 MXN -10%",Express,-10%,"$1,299"
11,PS4 Call Of Duty Vanguard,(2),"$1,439 MXN -10%",Express,-10%,"$1,599"
12,Control Xbox mineral Camo edición especial,(4),"$1,619 MXN -10%",Express,-10%,"$1,799"
13,Preventa - Ps4 Grand Theft Auto The Trilogy,(3),$649 MXN -50%,Express,-50%,"$1,299"
14,Heasdset Turtle Xbox Beach Recon 5,(13),$499 MXN -30%,Express,-30%,$719
15,Death Stranding PS4,(1),$319 MXN ,Normal,,$349
16,Nintendo Switch Mario + Rabbids Sparks Of Hope Le,(2),"$1,049 MXN -25%",Express,-25%,"$1,399"
17,GUANTE GAMER PARA DEDO ANTIDESLIZANTE,(4),$115 MXN -42%,Normal,-42%,$200
18,Back 4 Blood PlayStation 4,(1),$189 MXN ,Normal,,$199
19,Xbox One Madden Nfl 21,(1),$299 MXN -70%,Express,-70%,$999
20,Kit Carga Y Juega Vimi Para Xbox 360 Color Negro,(2),$200 MXN -20%,Normal,-20%,$250
21,KIT 2 EN 1 LOGITECH MK120 TECLADO Y MOUSE 920-004428,(3),$429 MXN ,Normal,,$476.19
22,Mouse Negro Rgb para Gaming Logitech,(9),$499 MXN -20%,Express,-20%,$629
23,Videojuego God Of War III Remasterizado - Hits Playstation 4,(4),$549 MXN ,Normal,,
24,Nier Automata the end of Yorha Nintendo Switch,(13),$800 MXN -10%,Express,-10%,$889
25,PS4 HITS GOD OF WAR,(5),$404 MXN -10%,Express,-10%,$449
26,Headset PS5 Inalámbrico Pulse 3D Negro,(3),"$1,979 MXN -10%",Express,-10%,"$2,199"
27,Control XBSX Negro Inalámbrico + Cable USB-C,(13),"$1,394 MXN -10%",Express,-10%,"$1,549"
28,FIFA 23 - Xbox One,(15),$584 MXN -10%,Express,-10%,$649
29,Kit de carga para Xbox One / Series X/S,(2),$549 MXN -15%,Express,-15%,$649
30,Ps5 Fifa Soccer 23,(4),$649 MXN ,Express,,
31,Nintendo Switch Control Joy-Con L R Purple Orange,(8),"$1,799 MXN -17%",Express,-17%,"$2,179"
32,Ps4 Madden Nfl 21,(1),$399 MXN -60%,Express,-60%,$999
33,Nintendo Switch Juego Pokémon Violet,(7),"$1,089 MXN ",Normal,,"$1,099"
34,Fortnite Minty Legends Compatible PS5,(1),$469 MXN -53%,Normal,-53%,$999
35,Audifonos Xbox One Recon 50X Turtle Beach,(13),$499 MXN -30%,Express,-30%,$719
36,Super Smash Bros Ultimate Nintendo Switch - Game Center,(14),"$1,209 MXN ",Normal,,"$1,309"
37,Protector de Pantalla NSW Oled,(1),$249 MXN -24%,Express,-24%,$329
38,Plants vs. Zombies - La Batalla por Neighborville Xbox One,(6),$449 MXN -10%,Express,-10%,$499
